equipamento,faixa,observacoes,baixa_ate30,dias_com_dados,perc_ate30,dias_analisados,dias_baixa_velocidade,perc_dias_baixa,velocidade_media_estimada,equipamento_historico,id_numerico,local_instalacao,sentido_fiscalizacao,latitude,longitude,faixas_fiscalizadas,velocidade_fiscalizada,vmd,localizado,hora_pico,perc_ate30_no_pico,perc_dias_criticos_no_pico
CTTU-9462,B,2404519.0,1017098.0,235,42.29943701838081,235,52,22.127659574468083,31.288355384174547,CTTU-9462,9462,"AV. ANTONIO DE GOÂS, EM FRENTE AO N.124",-,-8.088326,-34.88377,3.0,40 km/h e 60 Km/h,25000.0,True,8.0,56.87944423446491,58.79629629629629
CTTU-9462,A,2177946.0,914527.0,235,41.990343194918516,235,48,20.425531914893615,31.23660549894258,CTTU-9462,9462,"AV. ANTONIO DE GOÂS, EM FRENTE AO N.124",-,-8.088326,-34.88377,3.0,40 km/h e 60 Km/h,25000.0,True,8.0,63.12732640442802,69.44444444444444
CTTU-9449,C,1198830.0,486943.0,232,40.61818606474646,232,30,12.931034482758621,31.282133413411408,CTTU-9449,9449,"CAIS SANTA RITA, PROX. AO N. 675",CENTRO,-8.0717339,-34.8779064,3.0,40 km/h e 60 Km/h,30000.0,True,18.0,45.78196385313272,36.405529953917046
CTTU-9477,B,573255.0,228152.0,108,39.79939119589014,108,9,8.333333333333332,31.234363415931828,CTTU-9477,9477,"RUA SÃO MIGUEL, APÃ S O N. 1165",CENTRO,-8.080834,-34.917056,2.0,50 Km/h,18700.0,True,8.0,51.39149136717657,39.81481481481482
CTTU-9451,A,1303789.0,504794.0,231,38.71746118428672,231,43,18.614718614718615,30.132310519570268,CTTU-9451,9451,"AV. RUI BARBOSA, N. 1397",-,-8.0411938,-34.9033352,3.0,40 km/h e 60 Km/h,26300.0,True,7.0,79.16426661455229,75.5868544600939
CTTU-9478,B,628521.0,238340.0,108,37.9207695526482,108,20,18.51851851851852,31.187382760480556,CTTU-9478,9478,"RUA SÃO MIGUEL, APÃ S O N. 1194",SUBURBIO,-8.0807426,-34.9175662,2.0,50 Km/h,14900.0,True,18.0,58.38672772476494,62.03703703703704
CTTU-9461,A,1388634.0,519752.0,235,37.429012972460704,235,32,13.617021276595745,32.050204805880895,CTTU-9461,9461,"AV. ANTONIO DE GOÂS, EM FRENTE AO N.124",-,-8.088326,-34.88377,3.0,60 Km/h,27300.0,True,8.0,44.78334817369418,39.436619718309856
CTTU-9454,B,1827670.0,679493.0,236,37.178101079516544,236,48,20.33898305084746,30.766702960600107,CTTU-9454,9454,"AV. BEBERIBE SANTA CRUZ FUTEBOL CLUBE, 3101",CENTRO,-8.0117133,-34.889407,2.0,50 Km/h,26300.0,True,7.0,60.558002832306705,69.19642857142857
CTTU-9447,A,1988068.0,713485.0,228,35.88835995549448,228,89,39.03508771929825,31.521421583298334,CTTU-9447,9447,"AV. DOM JOAO VI, ENTRE OS Nº 777 E 835",CENTRO,-8.1163615,-34.9043619,3.0,50 Km/h,22900.0,True,7.0,57.149489296004404,55.86854460093896
CTTU-9438,A,1193556.0,427544.0,236,35.821025573999044,236,15,6.3559322033898304,32.56364175623096,CTTU-9438,9438,"AV. DOM JOAO VI, PROXIMO AO SEMAFORO 669",SUBURBIO,-8.1157197,-34.9043244,2.0,50 Km/h,16100.0,True,12.0,45.49449745065313,54.46428571428571
