rota,distancia_km,velocidade_kmh,fonte_velocidade,tempo_min
Referência (Av. Rui Barbosa),7.936210048735493,32.111843,estimativa histórica dos dados CTTU,14.828566610895848
Alternativa (Rua do Futuro / Bruno Maia),,,sem dado histórico disponível,
