avenida,qtd_pontos_monitorados,observacoes_totais,perc_ate30_medio_ponderado,velocidade_media_estimada,perc_dias_baixa_medio
Av. Rui Barbosa,3.0,5611105.0,31.528335327889963,32.11184338913637,8.526011560693641
Av. Abdias de Carvalho,3.0,7037873.0,20.211234274900956,39.610260646736165,0.14184397163120568
Av. Boa Viagem,6.0,10642520.0,13.702591115638024,39.91046161270854,14.027476500361534
Av. Mascarenhas de Morais,24.0,43146688.0,11.000332169180634,42.5314382947538,4.920782851817335
Av. Agamenon Magalhães,12.0,35280742.0,6.342358105733717,39.923066600819666,0.6426276329882185
