equipamento,faixa,perc_ate30,perc_dias_criticos_DIA_INTEIRO,hora_pico,perc_ate30_no_pico,perc_dias_criticos_no_pico
CTTU-9460,C,88.51088294610074,100.0,15.0,93.2293485119629,100.0
CTTU-9111,B,83.71922388800239,100.0,19.0,93.2728042140296,100.0
CTTU-9472,D,82.37464904807142,100.0,18.0,85.62814165397731,100.0
CTTU-9457,A,81.853953730014,100.0,17.0,91.74393885738064,100.0
CTTU-9460,A,80.83918067599353,98.29787234042553,5.0,88.21837667653334,97.70642201834863
CTTU-9458,B,80.22301189096166,100.0,18.0,90.7289524540682,100.0
CTTU-9457,B,78.19143571880541,100.0,17.0,87.84322218482083,100.0
CTTU-9460,B,77.19522392950876,97.87234042553192,17.0,84.14351218834135,95.4954954954955
CTTU-9447,C,74.28839731707639,72.80701754385966,18.0,75.85346329894303,83.09859154929578
CTTU-9111,A,73.7222927848568,99.54954954954955,17.0,85.06708220318433,99.53271028037383
CTTU-9458,A,71.6363405995046,100.0,18.0,79.0273675627729,100.0
CTTU-9456,B,57.45154293544202,93.64406779661016,18.0,67.67835617066982,99.09909909909909
CTTU-9469,B,56.829669354311285,78.66666666666666,4.0,83.53122827178676,95.92760180995475
CTTU-9465,D,56.21561663890958,93.64406779661016,1.0,78.7661552906562,95.04504504504504
CTTU-9483,D,55.753033672450925,77.08333333333334,4.0,80.97302692056945,90.21739130434783
CTTU-9456,A,54.2889795732287,69.0677966101695,17.0,64.75470909143387,84.75336322869956
CTTU-9462,C,47.69344786365225,37.02127659574468,17.0,60.137272330262796,79.90867579908677
CTTU-9449,A,44.9555401570002,30.603448275862068,9.0,54.383102505571784,65.89861751152074
CTTU-9465,A,44.104500864931076,21.610169491525426,23.0,66.46011959556591,91.8918918918919
CTTU-9449,B,42.66433430037458,21.982758620689655,9.0,52.63484430685498,59.907834101382484
CTTU-9462,B,42.29943701838081,22.127659574468083,8.0,56.87944423446491,58.79629629629629
CTTU-9462,A,41.990343194918516,20.425531914893615,8.0,63.12732640442802,69.44444444444444
CTTU-9449,C,40.61818606474646,12.931034482758621,18.0,45.78196385313272,36.405529953917046
CTTU-9477,B,39.79939119589014,8.333333333333332,8.0,51.39149136717657,39.81481481481482
CTTU-9451,A,38.71746118428672,18.614718614718615,7.0,79.16426661455229,75.5868544600939
CTTU-9478,B,37.9207695526482,18.51851851851852,18.0,58.38672772476494,62.03703703703704
CTTU-9461,A,37.429012972460704,13.617021276595745,8.0,44.78334817369418,39.436619718309856
